amtlich;de;fr;it
Winterthur;;Winterthour;
Zürich;;Zurich;Zurigo
Bern;;Berne;Berna
Bern;Bern-Liebefeld;;
Biel/Bienne;Biel (BE);Bienne;
Biel/Bienne;Biel'Bienne;;
Biel/Bienne;Biel‐Bienne;;
Biel/Bienne;Biel;;
Burgdorf;;Berthoud;
Erlach;;Cerlier;
Evilard;Leubringen;;
Gampelen;;Champion;
Ins;;Anet;
Lengnau (BE);;Longeau;
Ligerz;;Gléresse;
Moutier;Münster (BE);;
Münchenwiler;;Villars-les-Moines;
La Neuveville;Neuenstadt;;
Pieterlen;;Perles;
Saanen;;Gessenay;
Saint-Imier;St. Immer;;
St. Stephan;;Saint-Etienne;
Schelten;;La Scheulte;
Thun;;Thoune;
Twann-Tüscherz;;Douanne-Daucher;
Luzern;;Lucerne;Lucerna
Luzern;Luzern 2;;
Luzern;Luzern 16;;
Schwyz;;Schwytz;Svitto
Glarus;;Glaris;Glarona
Zug;;Zoug;Zugo
Büchslen;;Buchillon;
Courgevaux;Gurwolf;;
Düdingen;;Guin;
Fribourg;Freiburg;;Friburgo
Gempenach;;Champagny;
Giffers;;Chevrilles;
Gruyères;Greyerz;;
Gurmels;;Cormondes;
Jaun;;Bellegarde;
Kerzers;;Chiètres (FR);
Lurtigen;;Lourtens;
Meyriez;Merlach;;
Muntelier;;Montilier;
Murten;;Morat;
Plaffeien;;Planfayon;
Rechthalten;;Dirlaret;
Salvenach;;Salvagny;
St. Antoni;;Saint-Antoine;
St. Silvester;;Saint-Silvestre;
St. Ursen;;Saint-Ours;
Tafers;;Tavel;
Tentlingen;;Tinterin;
Ulmiz;;Ormey;
Grenchen;;Granges (SO);
Solothurn;;Soleure;Soletta
Basel;;Bâle;Basilea
Laufen;;Laufon;
Schaffhausen;;Schaffhouse;Sciaffusa
Appenzell;;;Appenzello
St. Gallen;;Saint-Gall;San Gallo
St. Gallen;St.Gallen;;;
Chur;;Coire;Coira
Zofingen;;Zofingue;
Bellinzona;;Bellinzone;
Lausanne;;;Losanna
Lausanne;Lausanne 20;;
Brig-Glis;;Brigue-Glis;Briga-Glis
Brugg AG;Brugg;;
Leuk;;Loèche-Ville;
Leukerbad;;Loèche-les-Bains;
Raron;;Rarogne;
Salgesch;;Salquenen;
St. Niklaus;;Saint-Nicolas;
Sierre;Siders;;
Simplon;;;Sempione
Sion;Sitten;;
Turtmann;;Tourtemagne;
Varen;;Varone;
Visp;;Viège;
Neuchâtel;Neuenburg;;
Neuchâtel;Neuchatel;;
Genève;Genf;;Ginevra
Genève;Geneva;;
Genève;Geneva 14;;
Genève;Geneva 2;;
Genève;Geneve;;
Genève;Geneve 4;;
Genève;Genève 1;;
Genève;Genève 11;;
Genève;Genève 14;;
Genève;Genève 19;;
Genève;Genève 27;;
Genève;Genève 4;;
Genève;Genäve;;
Genève;Genfcve;;
Genève;Genfeve;;
Genève;Gmeve;;
Genève;Genfcve;;
Richterswil;Richterwil;;
Genève;Meyrin/Genève;;
Delémont;Delsberg;;
Porrentruy;Pruntrut;;
Bern;Bern 22;;
Bern;Bern 23;;
Bern;Bern 25;;
Bern;Bern 6;;
Bern;Bern 60;;
Bern;Bern 60 UPD;;
Bern;Bern 7;;
Bern;Bern 8;;
Corcelles;Corcelles (NE);;
Corsier-sur-Vevey;Corsier sur Vevey;;
Crans-Montana;Crans-Montana 1;;
Crans-Montana;Montana;;
La Chaux-de-Fonds;La Chaux De Fonds;;
La Chaux-de-Fonds;La-Chaux-De-Fonds;;
Langnau i. E.;Langnau im Emmental;;
Saignelégier;Saingnelégier;;
Saignelégier;Saignelègier;;
Saignelégier;Saignelegier;;
Sainte Croix;Sainte-Croix;;
Schinznach-Bad;Schinznach Bad;;
Schinznach-Bad;Schinznachbad;;
St. Gallen;St  Gallen;;
St. Gallen;St Gallen;;
St. Gallen;St .Gallen;;
St. Gallen;St-Gallen;;
St. Gallen;Gallen;;
Villars-sur-Glâne;Villars‐sur‐Glane;;
Vugelles-la-Mothe;Vugelles-La Mothe;;
Wangen A.D. Aare;Wangen an der Aare;;
Wil;Will;;
Wil;Will SG;;
Yverdon-les-Bains;Yverdon-Ies-Bains;;
Yverdon-les-Bains;Yverdon les Bains;;
Yverdon-les-Bains;yverdon-les-bains;;
Yverdon-les-Bains;yverdon‐les‐bains;;
Yverdon-les-Bains;yverdon-les-bain s;;
Carouge GE;Carouge;;
Chavannes-Renens;Chavannes-près-Renens;;
Kloten;Ktoten;;